,id,stable_height,true_label
177,23802,1,1
178,23808,5,5
179,23911,2,2
180,24211,1,1
181,24548,5,5
182,24581,3,3
183,24609,6,6
184,24683,1,1
185,24812,1,1
186,24907,6,6
187,24976,4,4
188,25002,2,2
189,25073,2,2
190,25112,1,1
191,25147,3,3
192,25192,3,3
193,25586,2,2
194,25911,2,2
195,26025,2,2
196,26211,4,4
197,26349,1,1
198,26368,2,2
199,26410,4,4
200,26463,2,2
201,26535,1,1
202,26646,5,5
203,26659,3,3
204,26702,5,5
205,26802,2,2
206,26814,1,1
207,27449,5,5
208,27468,3,4
209,27521,5,5
210,27569,2,2
211,27738,3,3
212,27922,1,1
213,27956,3,3
214,27975,2,2
215,28025,4,4
216,28062,1,1
217,28069,3,3
218,28232,4,4
219,28497,3,3
220,28509,6,6
221,28578,3,3
222,28727,2,2
223,28901,3,3
224,28908,3,3
225,29078,5,5
226,29187,6,6
227,29253,2,2
228,29408,2,2
229,29534,1,1
230,29551,1,1
231,29679,3,3
232,29738,2,2
233,29839,6,6
234,30187,2,2
235,30263,1,1
236,30416,1,1
237,30424,1,1
238,30455,5,5
239,30476,1,1
240,30497,3,3
241,30521,2,2
242,30917,2,2
243,31054,3,3
244,31149,2,2
245,31171,1,1
246,31435,2,2
247,31551,2,2
248,31647,2,2
249,31851,2,2
250,31929,4,4
251,32114,2,2
252,32258,3,3
253,32278,4,4
254,32394,6,6
255,32416,1,1
256,32705,1,1
257,32885,1,1
258,32913,1,1
259,32937,1,1
260,32970,2,2
261,33145,2,2
262,33436,4,4
263,33557,1,1
264,33772,1,1
265,33774,3,3
266,33937,2,2
267,33940,3,3
268,34043,5,4
269,34135,5,5
270,34207,1,1
271,34442,3,3
272,34561,1,1
273,34884,5,5
274,35199,3,3
275,35231,5,5
276,35656,2,2
277,35871,4,4
278,35945,4,4
279,35956,5,5
280,35984,5,5
281,35986,2,2
282,36059,6,5
283,36113,1,1
284,36277,2,2
285,36308,2,2
286,36387,3,3
287,36533,1,1
288,37102,3,3
289,37367,4,4
290,37449,5,5
291,37658,3,3
292,37856,3,3
293,37919,1,1
294,38028,6,6
295,38032,3,3
296,38214,3,3
297,38242,3,3
298,38725,4,4
299,38851,2,2
300,38867,3,3
301,38873,2,2
302,38961,5,5
303,39026,5,5
304,39049,1,1
305,39293,3,3
306,39364,1,1
307,39767,4,4
308,39858,5,5
309,39958,5,5
310,40057,5,5
311,40081,3,3
312,40096,2,2
313,40098,4,4
314,40175,1,1
315,40405,2,2
316,40804,1,1
317,40844,1,1
318,40845,4,4
319,41066,6,6
320,41244,1,1
321,41325,6,2
322,41340,3,3
323,41384,2,2
324,41415,3,3
325,41420,1,1
326,41498,2,2
327,41555,2,2
328,41650,3,3
329,41675,4,4
330,41732,4,4
331,41832,2,2
332,41862,5,5
333,42090,1,1
334,42110,3,3
335,42653,4,4
336,42766,5,4
337,42939,3,3
338,42996,1,1
339,43043,2,2
340,43051,2,2
341,43131,5,5
342,43204,3,3
343,43216,3,3
344,43230,2,2
345,43373,4,4
346,43407,3,3
347,43416,2,2
348,43435,2,2
349,43591,2,2
350,43656,3,3
351,43693,2,2
352,43711,1,1
353,43865,4,4
354,43919,6,6
355,43961,2,2
356,43981,1,1
357,44072,3,3
358,44223,1,1
359,44395,1,1
360,44599,1,1
361,44678,2,2
362,44841,6,6
363,44911,4,4
364,44943,3,3
365,45063,3,3
366,45228,1,1
367,45385,3,3
368,45464,1,1
369,45653,2,2
370,46008,1,1
371,46081,3,3
372,46172,1,1
373,46175,3,3
374,46610,2,2
375,46689,2,2
376,46697,3,3
377,46763,5,5
378,46791,2,2
379,46795,4,4
380,47134,1,1
381,47164,1,1
382,47182,6,6
383,47327,5,5
384,47396,1,1
385,47400,1,1
386,47489,2,2
387,47687,2,2
388,47700,2,2
389,48374,4,4
390,48675,2,2
391,49025,4,4
392,49117,4,4
393,49246,1,1
394,49270,5,5
395,49366,2,2
396,49694,1,2
397,49719,2,2
398,49931,2,2
399,50275,2,2
400,50496,1,1
401,50502,1,1
402,50560,1,1
403,50598,2,2
404,50747,1,1
405,50832,2,2
406,50858,4,4
407,50861,1,1
408,50993,1,1
409,51053,1,1
410,51058,3,3
411,51246,1,1
412,51588,3,3
413,51596,2,2
414,51665,2,2
415,51819,1,1
416,51828,4,4
417,51919,5,5
418,51922,1,1
419,52099,4,4
420,52159,1,1
421,52304,1,1
422,52347,5,5
423,52840,1,1
424,52934,4,4
425,53012,5,5
426,53022,3,3
427,53047,2,2
428,53098,4,4
429,53233,2,2
430,53744,6,5
431,53767,4,4
432,53833,2,2
433,54093,1,1
434,54571,1,1
435,54679,5,5
436,54721,3,3
437,54786,6,6
438,54790,3,3
439,54964,2,2
440,54989,4,4
441,55013,1,1
442,55166,3,3
443,55213,4,4
444,55235,2,2
445,55342,1,1
446,55355,1,1
447,55432,3,3
448,55447,4,4
449,55899,2,2
450,55900,5,5
451,56164,1,1
452,56197,1,1
453,56325,3,3
454,56356,4,4
455,56455,2,2
456,56490,1,1
457,56699,4,4
458,56849,1,1
459,56906,4,4
460,57231,1,1
461,57315,1,1
462,57390,2,2
463,57477,4,3
464,57901,2,2
465,57964,2,2
466,58069,3,3
467,58107,2,2
468,58173,2,2
469,58224,2,2
470,58247,1,1
471,58451,4,4
472,58501,3,3
473,59049,1,1
474,59064,2,2
475,59143,2,2
476,59308,2,2
477,59430,1,1
478,59476,6,6
479,59500,1,1
480,59628,5,5
481,59666,5,5
482,59812,3,3
483,59840,2,2
484,59927,2,2
485,59946,2,2
486,59991,6,1
487,60320,2,2
488,60369,2,2
489,60373,5,5
490,61077,4,4
491,61460,2,2
492,61468,4,4
493,61803,2,2
494,61989,5,5
495,62128,4,4
496,62273,4,4
497,62324,3,3
498,62337,2,2
499,62392,2,2
500,62514,5,5
501,62668,1,1
502,62731,2,2
503,62886,1,1
504,63031,3,3
505,63051,1,1
506,63178,3,3
507,63218,4,4
508,63332,1,1
509,63513,3,3
510,63617,2,2
511,63771,1,1
512,63818,1,1
513,63836,4,4
514,63992,5,5
515,64185,6,6
516,64588,5,5
517,64594,3,3
518,64996,5,5
519,65616,6,6
520,65730,2,2
521,66495,6,6
522,66522,4,4
523,66547,2,2
524,66625,5,5
525,66705,1,1
526,66991,3,3
527,67188,1,1
528,67413,1,1
529,67444,2,2
530,67466,3,3
531,67614,2,2
532,67674,2,2
533,67712,1,1
534,67816,2,2
535,68291,5,5
536,68530,3,3
537,68607,2,2
538,68768,1,1
539,68783,6,6
540,68843,1,1
541,68899,5,5
542,69034,2,2
543,69152,2,2
544,69188,6,6
545,69228,2,2
546,69298,1,1
547,69388,1,1
548,69508,1,1
549,69524,5,5
550,69625,2,2
551,69840,1,1
552,69866,2,2
553,69913,2,2
554,70205,4,4
555,70283,3,3
556,70567,2,2
557,70577,3,3
558,70676,4,4
559,71037,2,2
560,71038,6,6
561,71072,1,1
562,71099,5,5
563,71149,1,1
564,71229,2,2
565,71431,2,2
566,71523,3,3
567,71559,3,3
568,71641,4,4
569,71864,6,6
570,71954,5,5
571,72072,1,1
572,72129,4,4
573,72297,3,3
574,72566,2,2
575,73304,1,1
576,73309,4,4
577,73334,3,3
578,73374,4,4
579,73542,2,2
580,73598,1,1
581,73660,2,2
582,73701,1,1
583,73797,5,5
584,73953,1,1
585,74042,2,2
586,74066,2,2
587,74100,4,4
588,74163,2,2
589,74164,4,4
590,74549,1,1
591,74661,4,4
592,74890,5,5
593,74985,3,3
594,75021,3,3
595,75022,2,2
596,75088,3,3
597,75098,4,4
598,75172,4,4
599,75467,6,6
600,75654,3,3
601,75906,4,4
602,76090,3,3
603,76137,2,2
604,76209,1,1
605,76260,2,2
606,76300,5,5
607,76409,2,2
608,76448,6,6
609,76540,2,2
610,76657,1,1
611,76673,1,1
612,76783,4,4
613,76822,2,2
614,76839,1,1
615,76915,4,4
616,76933,3,3
617,77108,2,2
618,77217,5,5
619,77447,3,3
620,78112,3,3
621,78302,1,1
622,78767,5,5
623,78847,5,5
624,78869,6,6
625,78969,6,5
626,79011,4,4
627,79042,4,4
628,79120,3,3
629,79124,4,4
630,79175,1,1
631,79240,4,4
632,79313,4,4
633,79579,2,2
634,79680,1,1
635,79775,3,3
636,79848,4,4
637,79889,2,2
638,79907,2,2
639,80148,1,1
640,80214,3,3
641,80276,4,4
642,80539,4,4
643,80594,3,3
644,80612,5,5
645,80724,6,6
646,81436,4,4
647,81626,3,3
648,81939,4,4
649,81977,1,1
650,82043,2,2
651,82163,3,3
652,82206,3,3
653,82341,3,3
654,82393,1,1
655,82812,2,2
656,82858,2,2
657,82946,3,3
658,83111,2,2
659,83339,4,3
660,83529,2,2
661,83804,1,1
662,83911,5,5
663,84076,3,3
664,84082,1,1
665,84291,5,5
666,84344,1,1
667,84456,2,2
668,84574,6,5
669,84609,1,1
670,84636,2,2
671,84656,4,4
672,84686,5,5
673,85002,2,2
674,85019,2,2
675,85083,3,3
676,85222,3,3
677,85689,1,1
678,85899,3,3
679,85904,1,1
680,86064,4,4
681,86249,3,3
682,86268,1,1
683,86501,2,2
684,86772,3,3
685,87034,2,2
686,87103,5,5
687,87332,2,2
688,87359,2,2
689,87422,3,3
690,87580,2,2
691,87964,1,1
692,88192,5,3
693,88487,3,3
694,88560,3,3
695,88678,5,5
696,89323,3,3
697,89329,1,1
698,89564,3,3
699,89589,5,5
700,90254,2,2
701,90267,5,5
702,90354,2,2
703,90364,1,1
704,90527,3,3
705,90604,2,2
706,90613,2,2
707,90638,2,2
708,91452,2,2
709,91681,3,3
710,91695,3,3
711,91702,4,4
712,91754,5,5
713,91775,3,3
714,91840,2,2
715,91872,5,5
716,92026,3,3
717,92080,2,2
718,92129,3,3
719,92132,3,3
720,92240,1,1
721,92379,1,1
722,92784,3,3
723,92904,3,3
724,93113,2,2
725,93167,1,1
726,93286,3,3
727,93315,5,5
728,93532,5,4
729,93616,4,4
730,93920,5,5
731,94080,2,2
732,94247,2,2
733,94291,1,1
734,94477,3,3
735,94516,1,1
736,94571,2,2
737,94590,1,1
738,94738,1,1
739,94819,5,5
740,94940,1,1
741,95000,2,2
742,95218,1,1
743,95299,1,1
744,95529,1,2
745,95545,5,5
746,95789,2,2
747,95866,2,2
748,96034,2,2
749,96297,2,2
750,96301,1,1
751,96483,2,2
752,96510,4,4
753,96701,1,1
754,96850,2,2
755,97064,2,2
756,97212,4,4
757,97270,1,1
758,97318,3,3
759,97346,6,6
760,97610,2,2
761,97676,1,1
762,97789,2,2
763,98077,4,4
764,98082,2,2
765,98361,6,6
766,98591,2,2
767,98803,4,4
768,98878,1,1
769,98895,1,1
770,98904,3,3
771,98918,3,3
772,98942,2,2
773,98971,4,4
774,99008,3,3
775,99018,4,4
776,99100,2,2
777,99251,4,4
778,99329,3,3
779,99345,2,2
780,99692,2,2
781,99792,1,1
782,99825,6,6
783,99903,2,2
784,100202,1,1
785,100487,1,1
786,100523,3,3
787,100600,2,2
788,100616,6,6
789,100802,1,1
790,100908,2,2
791,101151,6,6
792,101152,2,2
793,101248,1,1
794,101384,1,1
795,101404,2,2
796,101455,2,2
797,101490,2,2
798,101728,2,2
799,102065,2,2
800,102092,5,5
801,102095,2,2
802,102413,5,5
803,102543,4,4
804,102666,1,1
805,102688,4,4
806,102738,2,2
807,102779,2,2
808,102788,2,2
809,102823,5,5
810,103319,1,1
811,103388,4,4
812,103420,2,2
813,103502,2,2
814,103714,3,3
815,104307,2,2
816,104399,4,4
817,104443,1,1
818,105065,1,1
819,105227,1,1
820,105506,1,1
821,105589,4,4
822,105627,5,5
823,105848,4,4
824,105881,1,1
825,106565,2,2
826,106722,4,4
827,106836,1,1
828,106845,2,2
829,106881,5,5
830,106905,3,3
831,106951,2,2
832,107147,5,5
833,107308,3,3
834,107359,1,1
835,107474,4,4
836,107494,3,3
837,107700,3,3
838,107703,2,2
839,108685,4,4
840,108857,3,3
841,108919,1,1
842,109163,4,4
843,109201,5,4
844,109333,2,2
845,109338,2,2
846,109481,4,4
847,109520,3,3
848,109594,5,5
849,109695,2,2
850,109757,3,3
851,110254,2,2
852,110302,4,4
853,110619,3,3
854,110675,1,1
855,110875,1,1
856,110926,5,5
857,111000,1,1
858,111034,1,1
859,111050,3,3
860,111297,1,1
861,111345,4,4
862,111580,4,4
863,111824,1,1
864,111886,1,1
865,112016,3,3
866,112053,2,2
867,112086,5,5
868,112429,1,1
869,112457,5,5
870,112632,2,2
871,112855,4,4
872,112885,1,1
873,113069,2,2
874,113690,4,4
875,114017,2,2
876,114223,1,1
877,114385,1,1
878,114902,2,2
879,115169,1,1
880,115541,2,2
881,115631,5,5
882,115763,2,2
883,115828,2,2
884,116085,2,2
885,116121,3,3
886,116154,3,3
887,116363,1,1
888,116483,2,2
889,116485,4,4
890,116614,6,6
891,116917,3,3
892,117456,3,3
893,117513,2,2
894,117735,1,1
895,117746,2,2
896,118201,3,3
897,118346,3,3
898,118387,3,3
899,118396,4,4
900,118682,6,6
901,118810,5,5
902,118853,5,5
903,118989,1,1
904,119341,1,1
905,119577,6,6
906,120249,5,5
907,120602,1,1
908,120627,1,1
909,120740,1,1
910,120790,6,6
911,120987,4,4
912,121032,4,4
913,121055,2,2
914,121264,1,1
915,121722,5,5
916,121906,2,2
917,121977,4,4
918,122023,4,4
919,122045,1,1
920,122091,4,4
921,122266,1,1
922,122274,4,4
923,122364,2,2
924,122552,5,5
925,122566,3,3
926,122661,2,2
927,122766,2,2
928,122842,3,3
929,123018,3,3
930,123280,6,6
931,123632,3,3
932,123730,4,4
933,123817,2,2
934,123869,5,5
935,123999,5,5
936,124271,5,5
937,124401,3,3
938,124407,2,2
939,124457,3,3
940,124469,3,3
941,124797,3,3
942,124831,2,2
943,124963,1,1
944,125233,1,1
945,125315,4,4
946,125767,1,1
947,125807,1,1
948,125814,3,3
949,125989,3,3
950,126072,5,5
951,126184,1,1
952,126262,2,2
953,126352,2,2
954,126561,2,2
955,126658,3,3
956,126661,1,1
957,126670,2,2
958,127061,5,5
959,127185,2,2
960,127262,1,1
961,127340,2,2
962,127418,4,4
963,127504,1,1
964,127558,2,2
965,127607,3,3
966,127651,2,2
967,127684,3,3
968,127694,5,5
969,128037,3,3
970,128164,1,1
971,128454,1,1
972,128594,1,1
973,128744,5,5
974,128818,1,1
975,128894,3,3
976,129021,4,4
977,129132,1,1
978,129358,1,1
979,129403,2,2
980,129426,1,1
981,129473,5,5
982,129477,3,3
983,129608,2,2
984,129685,2,2
985,129954,6,6
986,130059,5,5
987,130078,1,1
988,130098,3,3
989,130145,2,2
990,130260,2,2
991,130377,2,2
992,130460,6,6
993,130667,6,4
994,130709,3,3
995,131148,2,2
996,131204,3,3
997,131253,3,3
998,131310,2,2
999,131545,5,5
1000,131821,1,1
1001,131964,4,4
1002,132000,2,2
1003,132256,4,4
1004,132284,5,5
1005,132509,5,5
1006,132549,3,3
1007,132613,1,1
1008,132748,3,3
1009,132756,1,1
1010,132802,1,1
1011,132875,2,2
1012,132908,2,2
1013,132943,2,2
1014,133008,6,6
1015,133032,1,1
1016,133253,2,2
1017,133280,2,2
1018,133331,2,2
1019,133527,1,1
1020,133615,4,4
1021,133772,4,4
1022,133880,2,2
1023,133954,2,2
1024,134055,1,1
1025,134071,5,5
1026,134100,2,2
1027,134200,2,2
1028,134425,4,4
1029,134428,1,1
1030,134569,3,3
1031,134586,1,1
1032,134593,2,2
1033,134616,3,3
1034,134824,6,6
1035,134892,3,3
1036,134913,1,1
1037,134932,2,2
1038,135009,1,1
1039,135224,4,4
1040,135654,5,5
1041,135912,4,4
1042,136200,3,3
1043,136240,1,1
1044,136260,3,3
1045,136265,2,2
1046,136394,3,3
1047,136468,4,4
1048,136534,3,3
1049,136589,2,2
1050,136766,1,1
1051,136777,2,2
1052,136877,2,2
1053,136884,1,1
1054,136957,2,2
1055,137093,1,1
1056,137918,1,1
1057,138996,1,1
1058,139051,5,5
1059,139078,3,3
1060,139101,4,4
1061,139198,2,2
1062,139317,1,1
1063,139621,4,4
1064,139759,3,3
1065,139825,5,5
1066,139844,2,2
1067,139871,3,3
1068,139874,1,1
1069,139936,2,2
1070,139947,3,3
1071,140164,2,2
1072,140282,3,3
1073,140521,4,4
1074,140710,5,5
1075,140815,1,1
1076,140852,2,2
1077,141319,5,5
1078,141475,2,2
1079,141535,4,4
1080,141594,4,4
1081,142244,2,2
1082,142312,2,2
1083,142366,4,4
1084,142391,3,3
1085,142664,1,1
1086,142779,3,3
1087,143069,4,4
1088,143172,5,5
1089,143217,3,3
1090,143302,2,2
1091,143304,5,5
1092,143465,5,5
1093,143725,2,2
1094,143928,2,2
1095,143948,4,4
1096,144028,5,5
1097,144030,5,5
1098,144491,1,1
1099,145087,1,1
1100,145133,4,4
1101,145168,3,3
1102,145380,1,1
1103,145384,5,4
1104,145412,5,5
1105,145478,3,3
1106,145481,5,5
1107,145567,2,2
1108,145632,1,1
1109,145844,3,3
1110,145963,3,3
1111,145988,1,1
1112,145997,1,1
1113,146018,1,1
1114,146027,1,1
1115,146367,1,1
1116,146389,4,4
1117,146436,3,3
1118,146475,2,2
1119,146498,6,6
1120,146611,2,2
1121,146614,2,2
1122,146685,2,2
1123,146745,3,3
1124,146787,6,6
1125,146834,4,4
1126,146862,3,3
1127,147143,2,2
1128,147763,1,1
1129,148002,4,4
1130,148013,3,3
1131,148121,1,1
1132,148147,6,6
1133,148403,2,2
1134,148509,3,3
1135,148576,1,1
1136,148595,3,3
1137,148785,4,4
1138,148881,4,4
1139,149355,3,3
1140,149487,1,1
1141,149539,3,3
1142,149545,2,2
1143,149554,3,3
1144,149771,1,1
1145,149819,3,3
1146,149859,1,1
1147,149899,3,3
1148,149969,3,3
1149,150071,3,3
1150,150169,2,2
1151,150379,4,4
1152,150810,5,5
1153,150969,6,6
1154,150975,6,6
1155,151078,6,6
1156,151485,3,3
1157,151683,1,1
1158,152361,6,6
1159,152619,3,3
1160,152659,3,3
1161,152724,4,4
1162,152928,3,3
1163,153060,2,2
1164,153212,1,1
1165,153225,5,5
1166,153237,6,6
1167,153484,6,6
1168,153760,6,6
1169,153883,4,4
1170,153925,2,2
1171,153999,1,1
1172,154097,3,3
1173,154300,1,1
1174,154575,1,1
1175,154764,3,3
1176,155098,1,1
1177,155147,3,3
1178,155362,5,5
1179,155455,4,4
1180,155589,5,5
1181,155977,4,4
1182,156003,2,2
1183,156049,1,1
1184,156113,4,4
1185,156553,3,3
1186,156625,5,5
1187,156671,5,5
1188,156785,3,3
1189,156800,5,5
1190,156818,4,4
1191,156944,1,1
1192,157136,1,1
1193,157421,4,4
1194,157580,1,1
1195,157655,1,1
1196,157668,2,2
1197,157679,3,3
1198,157680,3,3
1199,157757,1,1
1200,157849,3,3
1201,158220,3,3
1202,158698,1,1
1203,158745,1,1
1204,158923,4,4
1205,159177,4,4
1206,159316,1,1
1207,159323,4,4
1208,159441,2,2
1209,159616,1,1
1210,159634,4,4
1211,159636,1,1
1212,159649,4,3
1213,159950,3,3
1214,160053,5,5
1215,160066,1,1
1216,160090,5,5
1217,160096,6,6
1218,160201,3,3
1219,160242,5,5
1220,160386,6,6
1221,160623,4,4
1222,160821,1,1
1223,161078,3,3
1224,161108,2,2
1225,161208,1,1
1226,161307,1,1
1227,161353,2,2
1228,161356,1,1
1229,161403,6,3
1230,161427,2,2
1231,161561,3,3
1232,161724,6,6
1233,161803,6,6
1234,162004,2,2
1235,162492,1,1
1236,162764,1,1
1237,163161,2,2
1238,163224,3,3
1239,163287,4,4
1240,163357,5,5
1241,163375,2,2
1242,164149,2,2
1243,164446,4,4
1244,165031,4,3
1245,165417,3,3
1246,165477,3,3
1247,165665,3,3
1248,165703,3,3
1249,165872,3,3
1250,165880,4,4
1251,165910,4,4
1252,165978,4,4
1253,166496,4,4
1254,166782,2,2
1255,166929,1,1
1256,167161,3,3
1257,167216,1,1
1258,167293,2,2
1259,167300,1,1
1260,167467,2,2
1261,167549,2,2
1262,167833,3,3
1263,167895,3,3
1264,168007,3,3
1265,168044,4,4
1266,168045,1,1
1267,168072,6,6
1268,168323,3,3
1269,168402,1,1
1270,168596,5,5
1271,168747,3,3
1272,168908,1,1
1273,169018,1,1
1274,169335,2,2
1275,169546,1,1
1276,169570,2,2
1277,169721,1,1
1278,169769,4,4
1279,169831,1,1
1280,170108,2,2
1281,170111,4,4
1282,170217,2,2
1283,170220,5,5
1284,170261,2,2
1285,170270,1,1
1286,170352,4,4
1287,170375,1,1
1288,170479,2,2
1289,170553,4,4
1290,170571,3,3
1291,170756,5,5
1292,170842,3,3
1293,170920,2,2
1294,170921,3,3
1295,171100,4,4
1296,171707,5,5
1297,171760,3,3
1298,171824,6,6
1299,172113,3,3
1300,172164,4,4
1301,172194,3,3
1302,172234,1,1
1303,172396,2,2
1304,172460,1,1
1305,172705,2,2
1306,172718,4,4
1307,172727,1,1
1308,172898,2,2
1309,172956,5,5
1310,173149,2,2
1311,173313,2,2
1312,173344,6,6
1313,173496,2,2
1314,173684,2,2
1315,174092,2,2
1316,174119,5,5
1317,174218,3,2
1318,174375,4,4
1319,174420,1,1
1320,174811,1,1
1321,174818,3,3
1322,175275,1,1
1323,175507,4,4
1324,175697,1,1
1325,176117,2,2
1326,176128,2,2
1327,176162,2,2
1328,176220,1,1
1329,176344,6,6
1330,176550,5,5
1331,176699,5,5
1332,176737,5,5
1333,176818,4,4
1334,177018,5,5
1335,177296,1,1
1336,177488,2,2
1337,177725,2,2
1338,177782,2,2
1339,177927,1,1
1340,178027,2,2
1341,178118,5,5
1342,178703,3,3
1343,178919,2,2
1344,178953,2,2
1345,178962,4,4
1346,179186,5,5
1347,179250,1,1
1348,179382,3,3
1349,179444,2,2
1350,179811,5,5
1351,179829,4,4
1352,179863,1,1
1353,179970,3,3
1354,180061,2,2
1355,180121,1,1
1356,180335,3,3
1357,180426,2,2
1358,180486,2,2
1359,180763,1,1
1360,180943,1,1
1361,181010,2,2
1362,181171,2,2
1363,181317,1,1
1364,181872,3,3
1365,182071,2,2
1366,182092,2,2
1367,182226,5,5
1368,182299,1,1
1369,182551,5,5
1370,182723,4,4
1371,182832,1,1
1372,182948,1,1
1373,182975,4,4
1374,183204,2,2
1375,183350,2,2
1376,183598,2,2
1377,183692,2,2
1378,184030,2,2
1379,184044,3,3
1380,184087,3,3
1381,184168,2,2
1382,184200,3,3
1383,184231,1,1
1384,184652,1,1
1385,184688,1,1
1386,184774,3,3
1387,184784,1,1
1388,184943,2,2
1389,185063,5,5
1390,185333,1,1
1391,185436,4,4
1392,185446,2,2
1393,185453,6,6
1394,186025,3,3
1395,186047,3,3
1396,186309,3,3
1397,186392,2,2
1398,186705,1,1
1399,186741,3,3
1400,187200,2,2
1401,187208,2,2
1402,187437,4,4
1403,187466,4,4
1404,187645,3,3
1405,187748,1,1
1406,188019,3,3
1407,188332,1,1
1408,188411,3,3
1409,188463,2,2
1410,188490,6,6
1411,188800,3,3
1412,189248,5,5
1413,189257,3,3
1414,189274,2,2
1415,189297,2,2
1416,189339,1,1
1417,189379,4,4
1418,189436,1,1
1419,189470,1,1
1420,189710,3,3
1421,189807,6,6
1422,189854,4,4
1423,189926,1,1
1424,190032,1,1
1425,190217,3,3
1426,190257,2,2
1427,190438,1,1
1428,190910,1,1
1429,191006,5,5
1430,191124,5,5
1431,191130,4,4
1432,191383,4,4
1433,191465,1,1
1434,191634,2,2
1435,191643,5,5
1436,191772,3,3
1437,191788,1,1
1438,191789,3,3
1439,192056,3,3
1440,192096,2,2
1441,192110,5,5
1442,192511,3,3
1443,192899,2,2
1444,193066,6,6
1445,193342,3,3
1446,193465,4,4
1447,193611,1,1
1448,193672,2,2
1449,193861,4,4
1450,193927,1,1
1451,193943,4,4
1452,194035,2,2
1453,194543,1,1
1454,194580,5,5
1455,194762,1,1
1456,195067,5,5
1457,195144,4,4
1458,195444,2,2
1459,195492,2,2
1460,195640,1,1
1461,195874,5,5
1462,196314,3,3
1463,196632,5,5
1464,196718,2,2
1465,196779,1,1
1466,196959,4,4
1467,196961,3,3
1468,197023,5,5
1469,197070,1,1
1470,197102,1,1
1471,197145,4,4
1472,197184,6,6
1473,197707,1,1
1474,197751,2,2
1475,197842,2,2
1476,197863,1,1
1477,197986,1,1
1478,198014,2,2
1479,198252,5,4
1480,198389,4,4
1481,198432,1,1
1482,198472,2,2
1483,198577,3,3
1484,198584,4,3
1485,198700,1,1
1486,198722,3,3
1487,198726,1,1
1488,198736,3,3
1489,198758,2,2
1490,198841,1,1
1491,198847,2,2
1492,199023,5,5
1493,199139,2,2
1494,199167,5,5
1495,199457,3,3
1496,199532,1,1
1497,199654,2,2
